Timestamp,iSTAR i8,Input Port
08/03/23 10:51:32,i8.2,input 2 ACTIVE,
08/03/23 10:51:33,i8.2,input 2 INACTIVE,
08/03/23 10:51:34,i8.2,input 3 ACTIVE,
08/03/23 10:51:35,i8.2,input 3 INACTIVE,
08/03/23 10:51:36,i8.2,input 4 ACTIVE,
08/03/23 10:51:37,i8.2,input 4 INACTIVE,
08/03/23 10:51:38,i8.2,input 5 ACTIVE,
08/03/23 10:51:39,i8.2,input 5 INACTIVE,
08/03/23 10:51:40,i8.2,input 6 ACTIVE,
08/03/23 10:51:41,i8.2,input 6 INACTIVE,
08/03/23 10:51:42,i8.2,input 7 ACTIVE,
08/03/23 10:51:43,i8.2,input 7 INACTIVE,
08/03/23 10:51:44,---,---,END OF TEST #0 Trial: 2
08/03/23 10:51:44,---,---,TEST #0 Trial:2
08/03/23 10:51:44,i8.3,input 0 ACTIVE,
08/03/23 10:51:45,i8.3,input 0 INACTIVE,
08/03/23 10:51:46,i8.3,input 1 ACTIVE,
08/03/23 10:51:47,i8.3,input 1 INACTIVE,
08/03/23 10:51:48,i8.3,input 2 ACTIVE,
08/03/23 10:51:49,i8.3,input 2 INACTIVE,
08/03/23 10:51:50,i8.3,input 3 ACTIVE,
08/03/23 10:51:51,i8.3,input 3 INACTIVE,
08/03/23 10:51:52,i8.3,input 4 ACTIVE,
08/03/23 10:51:53,i8.3,input 4 INACTIVE,
08/03/23 10:51:54,i8.3,input 5 ACTIVE,
08/03/23 10:51:55,i8.3,input 5 INACTIVE,
08/03/23 10:51:56,i8.3,input 6 ACTIVE,
08/03/23 10:51:57,i8.3,input 6 INACTIVE,
08/03/23 10:51:58,i8.3,input 7 ACTIVE,
08/03/23 10:51:59,i8.3,input 7 INACTIVE,
08/03/23 10:52:00,---,---,END OF TEST #0 Trial: 2
08/03/23 10:52:00,---,---,TEST #0 Trial:2
08/03/23 10:52:00,i8.4,input 0 ACTIVE,
08/03/23 10:52:01,i8.4,input 0 INACTIVE,
08/03/23 10:52:02,i8.4,input 1 ACTIVE,
08/03/23 10:52:03,i8.4,input 1 INACTIVE,
08/03/23 10:52:04,i8.4,input 2 ACTIVE,
